"","sid","year","month","day","hour","time","lat","lon","x","y","p_cent","p_edge","depth","p_grad","DsqP","radius","area","Dp","DpDt","u","v","uv","Ege","Ely","Emg","Esp","Erg","id","pid","type","centers","strength"
"224068",432,1947,6,25,0,17341,42.0618512801049,-69.5570277818008,165,287,1006.40244555698,1010.40244555698,4,10.4575024773997,9.52702977666573,160.199046731147,80625,1.78750788217832,18.4857711106596,-98.7711691506554,-0.791727638158361,98.7743422556709,0,0,0,0,0,7,7,1,1,1
"224069",432,1947,6,25,3,17341.125,42.6938074292795,-69.8855635195922,167,289,1005.99352939344,1009.99352939344,4,10.733305815061,13.3414291408936,176.168140998648,97500,-0.40891616353998,-4.17805170483618,-8.95006613825698,23.4234392166828,25.0751109392722,0,0,0,0,0,5,5,1,1,1
"224864",55,1947,7,4,6,17350.25,37.4318488233206,-69.962789830807,147,282,996.320241499727,1012.32024149973,16,21.2649266533875,42.9637081497359,337.925541604116,358750,-1.49305522847862,-17.01858349221,7.56900944217822,26.3032558909236,27.3706261236237,0,0,0,0,0,5,5,1,1,2
"224865",55,1947,7,4,9,17350.375,37.8159431025497,-69.5484273024549,149,281,995.805355110045,1011.80535511005,16,21.6529708857838,40.3572109726021,331.386346630949,345000,-0.514886389681633,-5.81810642934088,12.1328372154898,14.2364450678258,18.7051358473227,0,0,0,0,0,5,5,1,1,2
"224866",55,1947,7,4,12,17350.5,38.3401414418329,-68.7961468562444,152,279,996.602519915713,1012.60251991571,16,21.9711946567566,38.9273246873829,355.707997883175,397500,0.797164805667417,8.90321507468803,21.8699474977336,19.4293986279309,29.2539934811756,0,0,0,0,0,6,6,1,1,2
"224867",55,1947,7,4,15,17350.625,38.9462622692182,-68.2710861892329,155,278,996.48413021866,1014.48413021866,18,22.506287345906,42.7680947260713,446.476837274454,626250,-0.11838969705248,-1.30486688937333,15.1357772268538,22.4658536462813,27.0888599301831,0,0,0,0,0,9,9,1,1,2
"224868",55,1947,7,4,18,17350.75,39.7762170655406,-67.6342392025088,159,277,997.49304653107,1013.49304653107,16,21.1270212697787,31.9999973655736,361.80787815232,411250,1.00891631240927,10.925411777416,18.1413479778824,30.7622542317894,35.7130899233861,0,0,0,0,0,6,6,1,1,2
"226324",429,1947,7,22,3,17368.125,39.361166796743,-74.4688700421743,149,301,1009.26277748042,1013.26277748042,4,7.51948532509162,2.71548073278725,997.156209912277,3123750,NA,NA,NA,NA,NA,3,0,0,0,0,6,6,1,1,1
"226325",429,1947,7,22,6,17368.25,38.1067079532281,-75.6217890383729,143,304,1008.17363249219,1012.17363249219,4,8.01495120131109,2.25807048420087,850.154330293077,2270625,-1.08914498822895,-12.227313946313,-33.6247236231871,-46.4964863610843,57.3807047940526,0,0,0,0,0,3,3,1,1,1
"226326",429,1947,7,22,9,17368.375,37.4385121166658,-76.0559212453631,140,305,1007.7541486527,1011.7541486527,4,8.1181144238353,2.037280845102,1827.96554404462,10497500,-0.419483839488967,-4.78075838113285,-12.7764213466641,-24.7666623435839,27.867983530722,0,0,0,0,0,3,3,1,2,1
