,Season,season_year,SA,CT,sigma,pea,month,year
98,Summer,1996,30.980057692728042,20.631609871627326,21.446702519225074,186.21605011381314,7.736,1996.0
99,Summer,1997,31.144721555300222,20.3202281280389,21.595061550122285,308.30894320465427,6.833333333333333,1997.0
100,Summer,1998,30.914016576164173,22.697700393797554,20.820001228224438,205.01560974363238,6.955555555555556,1998.0
101,Summer,1999,31.662525742492846,23.000029652210486,21.31405392846616,211.45760026281525,7.196969696969697,1999.0
102,Summer,2000,31.20658218520232,20.399000887102737,21.684965560344544,72.26235418802081,7.405797101449275,2000.0
103,Summer,2001,31.875967649994,22.319393677767653,21.666436605073773,168.87863285126954,6.628571428571429,2001.0
104,Summer,2002,31.17562440383333,23.846848986446794,20.715707531160092,209.75832051755268,7.446428571428571,2002.0
105,Summer,2003,31.60511469918826,23.226886959255186,21.210214305897722,167.05273853333472,7.714285714285714,2003.0
106,Summer,2004,32.432353908423686,21.890189025743332,22.205091280024046,204.40784780764068,7.528846153846154,2004.0
107,Summer,2005,31.33166284754347,23.833003039528545,20.825916460253787,201.5763511220541,7.60377358490566,2005.0
108,Summer,2006,31.30069198046926,21.225327246902992,21.498942140273325,202.61701969583459,7.060975609756097,2006.0
109,Summer,2007,31.843599542204338,22.399635585640596,21.62097693108945,214.7562295279343,7.4035087719298245,2007.0
110,Summer,2008,31.351716521140755,20.25350737167679,21.79409918145372,169.70655627622304,6.694214876033058,2008.0
111,Summer,2009,32.43968817224064,22.67366481394265,21.910899768491067,314.39160950723584,7.604938271604938,2009.0
112,Summer,2010,31.51396584882983,15.868550091771015,23.000268328987538,94.12575637117503,6.0,2010.0
113,Summer,2011,32.29604460295077,20.649733760043123,22.388786851874848,325.3260685860383,6.786666666666667,2011.0
114,Summer,2012,31.904748047258906,21.53381930303534,21.845948423320333,190.96814483028476,7.113924050632911,2012.0
115,Summer,2013,32.37719373818195,20.27677806078415,22.544820506568787,274.1335442849353,6.620689655172414,2013.0
116,Summer,2016,32.48965580660245,22.478426184926985,22.037118324705585,258.64408665316205,7.297872340425532,2016.0
117,Summer,2017,32.2930193157544,13.238512650988133,24.14589857290311,43.81234608866897,6.0,2017.0
118,Summer,2018,32.15426602129674,23.3586875721846,21.585929116272034,218.01839635390476,7.327868852459017,2018.0
119,Summer,2019,31.609745727579277,23.8619301500588,20.997306978151375,258.97401899194836,7.280701754385965,2019.0
120,Summer,2020,31.055680747578435,15.817326856315766,22.657591513097817,61.10939108823086,6.0,2020.0
121,Summer,2021,33.22386167885836,21.41430730316925,22.90164143861899,244.34584630150422,6.890243902439025,2021.0
122,Summer,2022,32.566023375045035,21.63345321075824,22.33077877493649,220.33460282176225,6.654545454545454,2022.0
123,Summer,2024,31.08610553307824,23.688310630817085,20.691407828942857,276.24502716292403,7.0,2024.0
124,Winter,1975,32.71399339394829,6.160771686380577,25.598522215419468,27.573928965221125,2.0,1975.0
125,Winter,1976,32.38395026048078,11.596253961259226,24.523069586867226,40.40267521672123,12.0,1975.0
126,Winter,1985,35.23298958428716,13.434736625343135,26.343566187908475,73.93984765320094,7.0,1984.5
127,Winter,1986,35.82394442764696,17.022920806747603,26.008519044599325,161.8222310024636,12.0,1985.0
128,Winter,1988,32.83278353948265,5.683104651987624,25.756027384826666,50.53633846507332,1.0,1988.0
129,Winter,1990,33.381594232009924,5.765186182143076,26.160037636147564,19.372312238507444,1.0,1990.0
130,Winter,1991,33.16208150626934,6.643825530097537,25.888539034918896,17.497926648182425,2.0,1991.0
131,Winter,1992,32.789463676098904,5.341685551675487,25.757000058243275,18.35929933436961,2.0,1992.0
132,Winter,1993,32.7906206395922,6.3827209743056565,25.63074088256901,13.49440905050686,1.3636363636363635,1993.0
133,Winter,1994,32.92871080116739,4.955277495611878,25.88485535065948,10.435806157128754,2.0,1994.0
134,Winter,1995,33.895450144288354,7.431060564520395,26.315707150221847,5.595023093462856,2.0,1995.0
135,Winter,1996,33.0966168716483,5.3288012683370125,25.988093713225638,18.852055327348978,1.9736842105263157,1996.0
136,Winter,1997,32.409724397888304,6.171478528381728,25.36187323177168,43.799153037420254,2.0,1997.0
137,Winter,1998,32.62933598580674,6.085775553038841,25.54736709025076,31.58211762012268,2.0,1998.0
138,Winter,1999,33.00816246544971,8.387450953570212,25.508395128832934,41.402074629298724,1.8837209302325582,1999.0
139,Winter,2000,34.39941015461125,8.923563147699605,26.430092584253835,34.44940311309978,3.0638297872340425,1999.8936170212767
140,Winter,2001,33.38062669293774,6.743332752175079,26.045858505699943,45.53392801361083,1.9156626506024097,2001.0
141,Winter,2002,33.718460394086165,8.43124975495151,26.076218328587558,40.29027907947841,2.0,2002.0
142,Winter,2003,34.20849145190702,6.9009995411251515,26.6544308693285,20.98908001808099,2.0,2003.0
143,Winter,2004,33.74767210059356,5.336455663283465,26.486321489539073,20.309939648076774,2.0,2004.0
144,Winter,2005,33.10882189666573,6.846101188937431,25.791333284573835,47.05941502631257,1.829268292682927,2005.0
145,Winter,2006,32.97210295077353,7.504100070292241,25.622333340236377,48.23467823560303,1.975,2006.0
146,Winter,2007,34.153169045134625,9.119402649051274,26.271671475654212,27.042541575371263,1.6833333333333333,2007.0
147,Winter,2008,32.92871088131881,7.800017295810578,25.555055971016056,46.51149661486523,1.0,2008.0
148,Winter,2009,33.54502474487048,7.5404544627015015,26.025434706684482,19.90922890381179,1.2941176470588236,2009.0
149,Winter,2010,33.66753268852065,6.9495340841869835,26.22608573245013,20.42229050847758,2.0,2010.0
150,Winter,2011,33.67284408221922,8.145516169805104,26.052057468443635,45.19566001243506,1.5,2011.0
151,Winter,2012,34.19564619814284,11.02488628635816,25.991938907400254,65.76836773985093,1.6363636363636365,2012.0
152,Winter,2013,34.54987173503989,9.108511210259493,26.5541811965806,7.039934489125164,2.0,2013.0
153,Winter,2017,34.08216288835861,8.424732447235078,26.336750310602028,11.271978671365094,2.0,2017.0
154,Winter,2019,32.921018512885496,6.604825362074198,25.701832256218626,41.530156870622044,2.0,2019.0
155,Winter,2020,31.31969609620931,8.185417728492652,24.239611287672954,39.20898670726799,2.0,2020.0
156,Winter,2022,34.25981975818048,9.348472124218656,26.301283128385325,11.171188890644089,2.0,2022.0
