"","X","lon","lat","date","bot_depth","depth","depth_flag","temp","temp_flag","salt","salt_flag","pressure","profile_num","EPU","NYB","STRATA","surf_dens","c50_dens","depth50"
"14286",14286,-72.1716690063477,40.6666679382324,20190820,45,0.992275476455688,0,24.2099990844727,0,31.5450000762939,0,1,164,"MAB","NYB",1050,1020.97109008409,1025.38589946522,40.6793518066406
"14327",14327,-72.25,40.4183349609375,20190820,56,0.992297947406769,0,24.7999992370605,0,31.3400001525879,0,1,165,"MAB","NYB",1020,1020.64201469847,1025.70968649596,49.6090049743652
"14378",14378,-72.086669921875,40.1699981689453,20190820,65,0.992320358753204,0,25.4200000762939,0,31.2210006713867,0,1,166,"MAB","NYB",1020,1020.36625343223,1025.81071744,49.6101264953613
"14439",14439,-72.0066680908203,40.0849990844727,20190820,75,0.992327988147736,0,25.8999996185303,0,31.1490001678467,0,1,167,"MAB","NYB",1020,1020.16597083793,1025.7784166279,49.6105079650879
"14510",14510,-71.8383331298828,40.0816650390625,20190820,82,0.992328405380249,0,25.6399993896484,0,31.378999710083,0,1,168,"MAB","NYB",1060,1020.41856333426,1025.83943295259,49.6105270385742
"14589",14589,-71.6666641235352,40.4116668701172,20190820,79,0.992298543453217,0,25.7000007629395,0,31.7719993591309,0,1,169,"MAB","NYB",1060,1020.69637699138,1025.7684127956,49.6090354919434
"14667",14667,-71.4216690063477,40.4949989318848,20190820,71,0.992291033267975,0,25.9200000762939,0,31.8500003814697,0,1,170,"MAB","NYB",1060,1020.68776798024,1025.97785827245,49.6086578369141
"15269",15269,-70.6233367919922,39.8333320617676,20190821,1134,0.992350697517395,0,27.4899997711182,0,35.1389999389648,0,1,176,"Not in NES","NYB",NA,1022.66927999054,1025.77308551685,49.6116409301758
"15471",15471,-70.6050033569336,39.8316650390625,20190821,964,2.97703862190247,0,27.4799995422363,0,35.101001739502,0,3,177,"Not in NES","NYB",NA,1022.65249058921,1025.72689521992,49.6116561889648
"16595",16595,-73.2383346557617,40.5566673278809,20190904,25,2.97684192657471,0,21.1299991607666,0,30.8050003051758,0,3,191,"MAB","NYB",3110,1021.28229576399,1021.9341091556,19.8447933197021
"16613",16613,-73.1183319091797,40.4566650390625,20190904,33,0.992294490337372,0,21.4699993133545,0,31.1690006256104,0,1,192,"MAB","NYB",1010,1021.45859895621,1023.73822506223,27.7824268341064
"16641",16641,-72.9700012207031,40.625,20190904,24,2.97682332992554,0,21.6000003814697,0,30.9710006713867,0,3,193,"MAB","NYB",3080,1021.2818895643,1021.92791524776,18.852481842041
"16658",16658,-72.9166641235352,40.5900001525879,20190904,27,0.992282450199127,0,21.5499992370605,0,31.1499996185303,0,1,194,"MAB","NYB",1010,1021.42253172569,1021.9015801115,18.8525428771973
"16677",16677,-72.8600006103516,40.6633338928223,20190904,26,2.97681307792664,0,21.3999996185303,0,30.9209995269775,0,3,195,"MAB","NYB",3080,1021.29798136102,1022.37496203184,21.8289566040039
"16697",16697,-73.5116653442383,40.2900009155273,20190904,27,0.99230945110321,0,21.8799991607666,0,31.4179992675781,0,1,196,"MAB","NYB",1010,1021.53596387936,1021.82161053563,19.8452739715576
"16717",16717,-73.6900024414062,40.0883331298828,20190904,35,0.992327809333801,0,22.3999996185303,0,31.511999130249,0,1,197,"MAB","NYB",1010,1021.46358059252,1024.73831197018,30.7599258422852
"16783",16783,-73.745002746582,40.4416656494141,20190905,30,2.97687315940857,0,22.8099994659424,0,29.1900005340576,0,3,200,"MAB","NYB",3140,1019.60012239146,1022.97031044,26.7903003692627
"16808",16808,-73.6616668701172,40.4483337402344,20190905,23,2.97687149047852,0,22.4200000762939,0,30.1539993286133,0,3,201,"MAB","NYB",3110,1020.4379806231,1022.49298039479,20.8371887207031
"16827",16827,-73.6016693115234,40.4216651916504,20190905,23,2.97687840461731,0,22.2900009155273,0,30.4409999847412,0,3,202,"MAB","NYB",3110,1020.69129390019,1022.21973060399,20.8372383117676
"17456",17456,-73.1033325195312,38.6766662597656,20190917,197,2.97734928131104,0,24.6100006103516,0,35.4790000915527,0,3,208,"MAB","NYB",1760,1023.83446286196,1025.50312788864,49.6168327331543
"17647",17647,-73.2433319091797,38.8066673278809,20190917,81,2.97731447219849,0,24.1599998474121,0,35.2770004272461,0,3,209,"MAB","NYB",1740,1023.81649917776,1025.08941346986,49.6162528991699
"18139",18139,-72.6449966430664,40.5183334350586,20190919,47,4.96139621734619,0,19.1000003814697,0,32.1440010070801,0,5,222,"MAB","NYB",1010,1022.83662047642,1024.51473722786,39.6877975463867
