,,,,,,,
Year,NMFS Name,Pounds,Metric Tons,Dollars,Deflated Dollars,Confidentiality,Collection
1951,"TUNA, BLUEFIN","2,800",1,550,"5,140",Public,Commercial
1951,"TUNA, LITTLE TUNNY","8,600",4,602,"5,626",Public,Commercial
1951,"VERTEBRATES, JAWED","569,200",258,"41,594","388,729",Public,Commercial
1951,WALLEYE,"365,200",166,"58,847","549,972",Public,Commercial
1951,WEAKFISH,"152,200",69,"30,522","285,252",Public,Commercial
1951,"WHITEFISH, LAKE","169,400",77,"76,228","712,411",Public,Commercial
1951,"WOLFFISH, ATLANTIC","3,700",2,250,"2,336",Public,Commercial
1952,ALEWIFE,"90,300",41,952,"8,734",Public,Commercial
1952,"BASS, BLACK SEA","1,680,100",762,"183,664","1,684,991",Public,Commercial
1952,"BASS, ROCK","8,700",4,"1,090","10,000",Public,Commercial
1952,"BASS, STRIPED","485,700",220,"141,413","1,297,367",Public,Commercial
1952,"BASS, WHITE","18,300",8,"1,008","9,248",Public,Commercial
1952,BLUEFISH,"207,700",94,"51,505","472,523",Public,Commercial
1952,"BONITO, ATLANTIC","5,900",3,880,"8,073",Public,Commercial
1952,BOWFIN,"4,700",2,141,"1,294",Public,Commercial
1952,BURBOT,"7,200",3,216,"1,982",Public,Commercial
1952,"CARP, COMMON","31,500",14,"2,102","19,284",Public,Commercial
1952,"CATFISHES, FORKTAIL **","69,000",31,"20,706","189,963",Public,Commercial
1952,"CATFISHES-BULLHEADS, OTHER **","23,400",11,"2,792","25,615",Public,Commercial
1952,"CLAM, SOFT","28,800",13,"15,900","145,872",Public,Commercial
1952,"CLAM, SURF, ATLANTIC","4,138,100","1,877","431,565","3,959,312",Public,Commercial
1952,"CLAMS, QUAHOG, MERCENARIA **","5,520,300","2,504","2,758,960","25,311,560",Public,Commercial
1952,"COD, ATLANTIC","975,100",442,"111,459","1,022,560",Public,Commercial
1952,"CONCHS, TRUE **","42,000",19,"11,000","100,917",Public,Commercial
1952,"CRAB, BLUE","56,900",26,"5,268","48,330",Public,Commercial
1952,CRAPPIES **,500,0,45,413,Public,Commercial
1952,"DRUM, FRESHWATER",600,0,14,128,Public,Commercial
1952,"EEL, AMERICAN","172,700",78,"33,478","307,138",Public,Commercial
1952,"EEL, CONGER","16,300",7,792,"7,266",Public,Commercial
1952,"FLOUNDER, AMERICAN PLAICE","32,600",15,"1,847","16,945",Public,Commercial
1952,"FLOUNDER, SUMMER","3,680,300","1,669","741,462","6,802,404",Public,Commercial
1952,"FLOUNDER, WINTER","909,200",412,"92,888","852,183",Public,Commercial
