"","X","lon","lat","date","bot_depth","depth","depth_flag","temp","temp_flag","profile_num","EPU","NYB","STRATA","seafloor_depth","surf_temp","surf_temp_1m","bot_T","bot_T_10m"
"480",68164,-72.7733306884766,40.6983337402344,20220319,27,0.992272615432739,0,6.05999994277954,0,843,"MAB","NYB",3080,-27,6.05999994277954,6.05999994277954,4.82999992370605,4.82999992370605
"481",68186,-72.5999984741211,40.5983352661133,20220319,39,0.992281675338745,0,6.73000001907349,0,844,"MAB","NYB",1010,-39,6.73000001907349,6.73000001907349,5.90999984741211,5.90999984741211
"482",68220,-72.4116668701172,40.5183334350586,20220319,47,0.992288827896118,0,6.78999996185303,0,845,"MAB","NYB",1010,-46,6.78999996185303,6.78999996185303,6.55000019073486,6.55000019073486
"483",68269,-72.2200012207031,40.4366683959961,20220319,59,12.8994770050049,0,8.15999984741211,0,846,"MAB","NYB",1020,-60,8.15999984741211,NA,7.40000009536743,7.40000009536743
"484",68311,-72.0933303833008,40.2616653442383,20220319,62,0.992312073707581,0,8.85000038146973,0,847,"MAB","NYB",1020,-63,8.85000038146973,8.85000038146973,7.6399998664856,7.6399998664856
"485",68370,-71.5766677856445,39.9033317565918,20220320,243,0.992344439029694,0,9.71000003814697,0,848,"MAB","NYB",1080,-236,9.71000003814697,9.71000003814697,12.5,12.5
"486",68609,-72.0100021362305,39.9966659545898,20220320,84,1.98466753959656,0,8.59000015258789,0,849,"MAB","NYB",1020,-83,8.59000015258789,NA,11.1000003814697,11.1000003814697
"487",68688,-71.9016647338867,40.1399993896484,20220320,79,1.98464143276215,0,9.03999996185303,0,850,"MAB","NYB",1060,-79,9.03999996185303,NA,10.1599998474121,10.1599998474121
"488",68763,-71.928337097168,40.276668548584,20220320,65,0.992310702800751,0,8.27999973297119,0,851,"MAB","NYB",1060,-65,8.27999973297119,8.27999973297119,7.46999979019165,7.46999979019165
"489",68824,-71.9033355712891,40.4483337402344,20220320,67,0.992295265197754,0,8.05000019073486,0,852,"MAB","NYB",1060,-69,8.05000019073486,8.05000019073486,7.55999994277954,7.55999994277954
"490",68887,-72.1716690063477,40.7483329772949,20220320,44,0.992268025875092,0,7.30000019073486,0,853,"MAB","NYB",1050,-44,7.30000019073486,7.30000019073486,6.71999979019165,6.71999979019165
"491",68927,-72.3899993896484,40.8283348083496,20220320,22,0.992260932922363,0,6.19000005722046,0,854,"MAB","NYB",3050,-22,6.19000005722046,6.19000005722046,5.8600001335144,5.8600001335144
"492",68945,-72.2866668701172,40.8683319091797,20220320,22,0.992257237434387,0,6.42999982833862,0,855,"Not in NES","NYB",3050,-23,6.42999982833862,6.42999982833862,5.65000009536743,5.65000009536743
"493",68964,-72.1050033569336,40.9366683959961,20220320,20,0.992250978946686,0,6.48999977111816,0,856,"Not in NES","NYB",3050,-22,6.48999977111816,6.48999977111816,5.55000019073486,5.55000019073486
"494",68980,-71.9583358764648,40.9716682434082,20220320,24,0.992247879505157,0,6.42000007629395,0,857,"MAB","NYB",3020,-25,6.42000007629395,6.42000007629395,5.78000020980835,5.78000020980835
"495",69000,-71.9183349609375,40.9816665649414,20220320,22,0.992246925830841,0,6.46000003814697,0,858,"MAB","NYB",3020,-22,6.46000003814697,6.46000003814697,5.94000005722046,5.94000005722046
"496",69018,-71.7866668701172,41.0166664123535,20220320,25,0.992243707180023,0,6.07999992370605,0,859,"MAB","NYB",3020,-26,6.07999992370605,6.07999992370605,6.11999988555908,6.11999988555908
